nuclei,energy,centrality,nch
AuAu,200,00-10,61.85
AuAu,200,10-20,42.78
PbPb,2760,00-05,148.27
PbPb,2760,05-10,122.43
PbPb,2760,10-20,90.74
PbPb,2760,20-30,61.93
PbPb,2760,30-40,40.27
PbPb,2760,40-50,32.32
PbPb,5020,00-10,172.44
PbPb,5020,10-20,115.65
PbPb,5020,30-50,40.64
