nuclei,energy,centrality,nch
AuAu,200,00-10,606.2211981566821
AuAu,200,10-20,416.6459627329193
PbPb,2760,00-05,1423.2653061224491
PbPb,2760,05-10,1184.0336134453783
PbPb,2760,10-20,882.7922077922079
PbPb,2760,20-30,599.047619047619
PbPb,2760,30-40,387.81341107871725
PbPb,2760,40-50,316.4168618266979
PbPb,5020,00-10,1661.1904761904761
PbPb,5020,10-20,1109.1269841269843
PbPb,5020,30-50,397.2594752186589
